v,vw,o,c,h,l,t,n
1874.38121015,2522.0628,2515.09,2520.59,2531.0,2513.29,1730419200000,6432
6252.5295026199965,2508.6727,2525.0,2498.0,2530.4,2491.06,1730422800000,13647
7636.220284909998,2489.081,2498.0,2507.26,2512.1,2464.83,1730426400000,18430
2654.10215843,2507.9182,2508.41,2500.07,2519.6,2495.28,1730430000000,8624
1247.4223005899998,2505.9024,2500.54,2510.46,2515.4,2498.35,1730433600000,6046
1423.8994704600004,2508.3028,2510.47,2507.75,2514.2,2504.78,1730437200000,5416
1626.5678760399996,2504.2763,2507.82,2498.07,2512.2,2497.3,1730440800000,6526
3047.3609281900003,2495.9099,2499.79,2501.37,2507.5,2483.35,1730444400000,8394
2513.0430175800007,2504.9908,2501.18,2498.53,2514.3,2492.16,1730448000000,7559
1758.22116001,2504.0246,2501.4,2507.35,2513.8,2496.32,1730451600000,6190
3267.7959073699994,2514.7558,2508.52,2516.28,2524.7,2506.81,1730455200000,8284
1892.6995433000006,2518.6062,2516.25,2513.15,2525.3,2513.11,1730458800000,6575
5260.025907550001,2528.7694,2514.33,2534.72,2543.0,2512.27,1730462400000,12775
7798.381776610002,2551.0591,2533.99,2571.94,2574.5,2527.8,1730466000000,14996
10158.749746090001,2567.792,2571.97,2560.92,2585.3,2550.0,1730469600000,19116
9669.78410317,2520.4778,2561.07,2499.35,2564.2,2480.56,1730473200000,22880
8322.98876728,2517.2516,2498.39,2517.72,2538.3,2497.84,1730476800000,19316
6266.479476219999,2515.5548,2516.95,2512.6,2530.4,2506.0,1730480400000,14918
4046.7559046199995,2510.9192,2513.9,2506.72,2518.2,2504.01,1730484000000,12446
4914.61377198,2505.8058,2506.98,2512.43,2518.1,2493.71,1730487600000,14031
2962.4940220600006,2517.8087,2512.3,2518.73,2528.4,2510.28,1730491200000,9240
3768.7271466399993,2499.2817,2522.1,2503.97,2522.1,2484.58,1730494800000,10090
1334.1218076000005,2507.0284,2507.1,2511.55,2514.5,2502.1,1730498400000,6569
1447.9824967299996,2512.7157,2510.57,2510.27,2518.2,2508.31,1730502000000,6214
1405.5128448899995,2514.6009,2512.19,2515.18,2520.5,2509.6,1730505600000,6353
1561.91949113,2513.3601,2515.23,2513.68,2520.9,2510.34,1730509200000,5845
1169.87723489,2516.5391,2513.68,2510.98,2524.2,2510.88,1730512800000,5881
1471.6107073599997,2508.9499,2510.95,2505.88,2516.8,2500.75,1730516400000,5959
692.90354863,2504.6788,2503.64,2504.26,2510.2,2500.92,1730520000000,4839
863.6321312199999,2505.6659,2503.99,2511.8,2514.4,2498.52,1730523600000,4796
575.07013749,2507.5338,2511.8,2510.86,2514.1,2504.1,1730527200000,3749
966.2594676800002,2506.7891,2510.86,2506.23,2513.4,2504.45,1730530800000,2978
1333.9550243400001,2500.1825,2506.22,2494.99,2510.9,2494.08,1730534400000,3833
715.26140716,2497.4382,2494.49,2496.11,2505.8,2490.35,1730538000000,3406
507.8632675199999,2497.2018,2495.64,2501.45,2503.4,2491.76,1730541600000,3072
477.5463567000001,2502.1293,2501.17,2501.07,2506.8,2498.45,1730545200000,3049
1501.49751048,2491.3985,2499.76,2487.93,2504.2,2482.77,1730548800000,5211
4322.3009807299995,2482.3805,2487.93,2479.53,2499.7,2469.7,1730552400000,9822
2668.3216312900017,2481.9357,2478.98,2489.38,2489.6,2475.0,1730556000000,7254
2231.2152886000003,2484.6448,2489.9,2488.0,2491.6,2477.16,1730559600000,6268
2240.1984248799995,2488.5297,2487.57,2493.85,2496.65,2481.15,1730563200000,5797
1000.3775238700003,2486.2189,2494.29,2485.18,2494.8,2479.12,1730566800000,5684
1273.29882901,2486.0148,2485.16,2486.32,2490.85,2478.73,1730570400000,7664
899.6284977600001,2489.0981,2487.29,2492.42,2494.1,2484.6,1730574000000,6510
1448.6094103699998,2492.8404,2492.41,2494.84,2496.01,2487.3,1730577600000,5103
601.99657927,2492.8557,2494.84,2493.13,2496.1,2490.84,1730581200000,3957
848.5531905300002,2493.3023,2493.5,2491.06,2497.21,2489.93,1730584800000,4318
2671.8880080199997,2487.4023,2491.06,2493.44,2493.45,2484.25,1730588400000,5109
1249.6131101800001,2490.9387,2491.78,2482.18,2496.01,2482.18,1730592000000,4980
1802.3338163,2479.4426,2482.79,2471.18,2486.09,2469.99,1730595600000,6069
9476.854164240003,2452.4268,2471.6,2432.92,2476.52,2426.0,1730599200000,17799
5361.28807934,2437.9432,2435.6,2448.68,2453.0,2420.38,1730602800000,10390
2481.5005493699996,2454.6092,2449.55,2454.3,2463.2,2447.39,1730606400000,5618
2524.4586719300014,2448.5718,2453.99,2441.43,2458.3,2440.25,1730610000000,5374
2025.3299605199998,2452.8674,2440.85,2455.42,2463.6,2440.84,1730613600000,4239
1734.5944134799997,2451.9808,2455.44,2448.71,2458.09,2448.12,1730617200000,4658
5367.302578349999,2451.6379,2448.65,2457.84,2463.2,2442.48,1730620800000,7549
1160.3133069599996,2452.3624,2459.9,2448.36,2460.2,2446.14,1730624400000,3491
766.6731213399999,2455.7349,2450.8,2455.87,2461.8,2448.04,1730628000000,3007
584.37091867,2455.1952,2459.0,2453.4,2462.0,2450.62,1730631600000,3694
780.5671961200001,2455.8814,2452.6,2453.73,2460.8,2451.8,1730635200000,4078
3566.36416099,2441.1698,2453.78,2434.11,2456.52,2429.73,1730638800000,6753
4739.31908112,2427.9729,2434.23,2424.16,2441.3,2417.25,1730642400000,12934
4911.915778450001,2426.4279,2423.09,2441.54,2448.0,2412.21,1730646000000,13226
3046.7242547900014,2448.4924,2441.96,2441.83,2459.9,2437.33,1730649600000,10912
3803.8913344800003,2447.978,2441.87,2445.87,2454.4,2441.13,1730653200000,8185
5515.52162634,2426.4466,2445.25,2423.62,2450.1,2409.53,1730656800000,9842
2378.5893282800002,2441.4415,2424.33,2451.73,2454.3,2422.53,1730660400000,7613
2717.19557778,2458.9629,2451.84,2466.74,2470.9,2446.07,1730664000000,7606
3362.2210992099995,2468.8452,2466.52,2466.62,2475.7,2463.77,1730667600000,7778
1530.907472880001,2467.211,2471.3,2458.9,2476.3,2456.64,1730671200000,5233
3612.6351934100003,2452.4967,2459.06,2456.57,2461.6,2445.99,1730674800000,7640
1506.9184730000002,2445.8579,2459.0,2449.08,2459.0,2434.02,1730678400000,6502
2320.578781390001,2461.1496,2449.13,2465.03,2474.8,2444.04,1730682000000,8323
2743.97591111,2474.2385,2464.91,2481.92,2485.8,2460.87,1730685600000,7632
1783.8906000099996,2478.2718,2481.82,2472.03,2491.4,2471.25,1730689200000,5537
1171.590843,2474.0015,2471.55,2471.01,2482.5,2469.21,1730692800000,4562
1087.18495118,2465.3911,2471.11,2460.65,2474.1,2458.24,1730696400000,4459
996.37980734,2470.2861,2460.58,2475.35,2480.4,2459.62,1730700000000,3931
1984.4936657400008,2464.4582,2474.67,2457.44,2479.5,2455.14,1730703600000,4287
1415.0972510799998,2457.3972,2457.08,2455.98,2467.6,2449.37,1730707200000,4405
1406.1294182599995,2455.1187,2455.98,2455.31,2465.8,2445.52,1730710800000,4003
1103.5414155800001,2465.0308,2455.36,2465.25,2474.0,2453.13,1730714400000,4588
1138.1821158200003,2470.678,2464.81,2468.03,2478.4,2461.85,1730718000000,4626
1442.05746245,2471.5196,2468.19,2474.32,2479.6,2464.6,1730721600000,4995
2514.6822846100004,2471.0457,2474.29,2457.43,2487.0,2456.99,1730725200000,7515
5387.811080180002,2454.092,2457.29,2448.72,2464.6,2443.41,1730728800000,12233
4053.172219509999,2442.4203,2448.72,2441.52,2455.3,2430.25,1730732400000,12021
7073.601192549999,2424.5365,2441.48,2412.95,2448.1,2406.22,1730736000000,13785
6253.660199239996,2415.0375,2412.83,2423.47,2430.1,2404.01,1730739600000,12176
3228.5077671899994,2426.4598,2422.92,2423.82,2437.3,2416.47,1730743200000,11059
2947.839442580001,2429.6041,2423.76,2428.26,2437.1,2423.5,1730746800000,9177
3922.0653434299984,2423.3705,2428.27,2421.15,2432.2,2417.77,1730750400000,12111
