v,vw,o,c,h,l,t,n
327.66863816,70222.7515,70250.1,70188.0,70439.0,70038.83,1730419200000,14078
884.2600297100001,69623.93,70077.8,69421.0,70331.0,69208.43,1730422800000,30310
906.5726316099999,69128.9145,69316.7,69497.55,69583.0,68750.37,1730426400000,30224
395.28544203000007,69447.4898,69494.4,69275.71,69697.0,69241.48,1730430000000,15652
515.1054918000002,69424.3015,69294.8,69525.91,69639.0,69250.04,1730433600000,13391
154.65535395999996,69531.9901,69600.0,69541.2,69661.0,69451.1,1730437200000,10201
216.55649749000005,69355.129,69541.04,69147.67,69690.0,69141.26,1730440800000,12125
343.64390281000004,69230.4052,69186.8,69204.78,69432.0,69020.82,1730444400000,13545
184.92015329000003,69343.4607,69200.5,69309.7,69526.0,69161.83,1730448000000,11663
186.67219831999992,69398.4332,69291.3,69469.4,69585.0,69249.79,1730451600000,10594
622.9407889500001,69818.7177,69470.15,69920.31,70137.0,69452.63,1730455200000,18341
373.98542031999995,70049.701,69920.1,69937.72,70227.0,69913.62,1730458800000,15502
767.2282746600001,70152.6936,69945.1,70294.48,70455.0,69834.49,1730462400000,22619
1365.1183947600002,70597.2578,70300.0,71205.0,71215.0,70066.3,1730466000000,34589
2690.3872057500002,71304.9079,71150.77,71258.6,71653.0,70883.21,1730469600000,46931
2393.416056010001,70188.3276,71245.4,69364.48,71350.29,69025.0,1730473200000,48979
1080.3274413499998,70004.5558,69356.4,69905.99,70512.0,69327.86,1730476800000,32233
1003.6969791899996,69773.993,69910.1,69552.21,70191.0,69450.0,1730480400000,29394
1344.3930765799998,69355.4671,69555.27,69099.91,69641.0,69003.64,1730484000000,34083
1520.00196549,69062.5109,69099.9,69211.34,69469.0,68720.0,1730487600000,38284
517.1999077500001,69261.9187,69206.18,69205.22,69516.0,69114.36,1730491200000,18823
402.03000277,69054.9498,69203.65,69213.07,69398.0,68815.89,1730494800000,18286
177.58642190999996,69323.3173,69202.0,69400.76,69501.0,69186.75,1730498400000,14013
229.05925145,69499.2302,69391.4,69467.29,69645.0,69317.77,1730502000000,11846
207.61627606,69568.5809,69490.1,69647.91,69704.0,69441.17,1730505600000,12173
103.88559489000002,69581.9737,69647.91,69642.27,69730.0,69472.62,1730509200000,10988
129.75141750999995,69753.5213,69642.26,69641.0,69939.0,69599.9,1730512800000,10552
114.26711214999999,69672.0883,69635.6,69581.79,69810.0,69539.2,1730516400000,9709
108.45224172000003,69529.4257,69574.6,69542.42,69648.0,69435.93,1730520000000,8715
67.38703106,69584.7571,69540.0,69675.43,69749.0,69414.79,1730523600000,7745
74.05650677,69639.3011,69675.44,69724.41,69770.0,69541.56,1730527200000,7030
100.90487943,69714.8247,69700.0,69775.82,69845.0,69655.0,1730530800000,6600
95.54892559000004,69660.8295,69775.5,69603.03,69854.0,69544.16,1730534400000,5970
73.52873979000002,69561.3173,69644.0,69525.64,69687.0,69483.81,1730538000000,6197
144.75318372999996,69479.1074,69525.64,69595.16,69646.0,69382.33,1730541600000,6905
